tweet,user_name,country,user_location,language
getting bullied for being irish in a discord i got fucked by the famine kys , i Venuh,NONE,NONE,en
mahrez is seriously getting bullied by kolasinac and ox,OLA,NONE,USA,en
the song is about a coward and bullied person that finally has had enough and has to defend themselves we are ther ,Gayle Coffman,NONE,NONE,en
how would you feel if someone said that in response to your friends being harrassed though you gotta be consistent,Tina Russell ,NONE,USA,en
if you or someone you know have or are dealing with sexualharassment read her testimony she refused to be bullied ,NaeNae NoBull ,NONE,USA,en
yea everyone talks about bullies im not going to get bullied by a bumm that wan ,FMbeltra,NONE,USA,en
mad because you saying black men complaining about ee experiencing injustice must mean he abused a woman ,pardon my back,NONE,USA,en
now we ve established the mindset that we will not be bullied by you pouty ass progressives any longer ,Rico P ,NONE,USA,en
i was bullied by dat sainsfan in his discord not clickbait via ,Kimotr,NONE,USA,en
i guess kaerrueche played a part in it too because she was abused by cb too ,Ola Ojewumi,NONE,USA,en
the way she was bullied amp savaged by pakeha journos media albeit with coded language had disturbing ,Richard Mayson,NONE,New Zealand,en
no they didn t the accuser s friend is quoted as lies were told and evidence of abuse was ,Jeremiah Wheatley,NONE,NONE,en
as a bartender i was once stalked threatened by a psychotic murderous columbian drug lord who was obsessed with me ,XI,NONE,USA,en
holding getting bullied by vardy ayy,Ethan,NONE,NONE,en
monrael getting bullied by maguire,Harvey Specter,NONE,NONE,en
we re getting bullied by some 4ft jap,Calum,NONE,NONE,en
monreal is getting bullied in the middle and holding can t stick a pass to save his life two bad choice by wenger unfortunately arsenal,Joshua Gooner Cullen,NONE,NONE,en
just as insane as any woman being approached carries an implied threat of public humiliation and rape ,CVi,NONE,Norway,en
clabon he flirted badly wow how will you first world fuckwits ever survive this harrowing experience get real ,Ashton Liu,NONE,NONE,en
lacashitte getting bullied by harry maguire welcome to the premier league,Dan,NONE,NONE,en
and i m against my daughter being bullied by the irish government into doing something with her own body sh ,Clair D,NONE,Ireland,en
statistics show that white kids are the most frequently bullied by other races most bullying that oc ,Early May,NONE,NONE,en
lmao a woman ever being bullied by someone who s not another fucking woman,Captain Rusty,NONE,USA,en
i still get stalked by a nigga thats in jail wtf ,RAW ,NONE,NONE,en
ellen degeneres reveals she was bullied by hollywood after coming out as a lesbian ,Tim,NONE,USA,en
because they get bullied by you ,Abso Lutely,NONE,NONE,en
also if you re complaining your player who repeated abused a woman should be allowed to play you should reevaluate yourself,Wes Hamilton,NONE,USA,en
don t be bullied by them you know how you feel and thankfully attitudes are different now just no ,Leeroy Halloween,NONE,UK,en
holding being bullied by leicester seniors, Faizal Romario ,NONE,Singapore,en
i m being stalked by a cat help me,Ellie,Israel,USA,en
he abused a woman dallas knew he had a history of beating women when they drafted him play with fire sometimes you get burned,Brian,NONE,NONE,en
i hope the baby will be happy but mostly hope this woman is ok and not haunted or bullied by this in what must be a difficult situation ,Llefain,NONE,UK,en
xhaka got bullied by a short japanese samurai for the first goal amp lost the ball for the 2nd rent boys will still say he is gt pogba smh,Yima Joash Gire,NONE,Nigeria,en
xoxoxo can t you see it s me being bullied by ariane,Jamie Tracey,NONE,NONE,en
literally the only thing i remember mahrez doing that half was getting bullied by kolasinac ,Cameron Gray,NONE,UK,en
2010 amac folks were tired of getting bullied by liberals degrading us and calling us every n ,Texas Boy Mom,NONE,USA,en
makes sense go back to school you don t go cos you get bullied by the year 7s,HaultUzids ,NONE,NONE,en
in the middle of moving into my dorm and being harrassed by people from whitman still get over it im gone,maddy,NONE,NONE,en
i am being bullied by , s,NONE,NONE,en
this is the second time my pinned tweet is being bullied by a porn account take care of this and nazis plz ,Liam Senior,NONE,NONE,en
you can speak out about male abuse and female abuse on equal terms without pushing th , LOVE YOURSELF,NONE,NONE,en
i a woman was abused by men and thus think that men like that are trash yeah but , LOVE YOURSELF,NONE,NONE,en
i hope these nasty words are stopped soon ,Flappy of Quack,NONE,NONE,en
reported for abuse of adverbs ,Fallacio Hornblower,NONE,NONE,en
yeh kids bullied by words never attempt suicide the words dont hurt argument is moronic and ignorant,Philly Phil,NONE,USA,en
i m a former contributing dem 40 yrs being stalked by desperate dems to donate schumer warren pelosi franken ,Bull or No Bull,NONE,USA,en
for one of the few times ever the nfl took the word of a woman who was allegedly physically abused over the word ,Kaitlin Quigley,NONE,USA,en
most remain voters bullied by leavers into saying whatever shit will get you to stfu my god just stop you whin ,Law Geek,NONE,UK,en
did you mean being literally being bullied by the rest of the nw and only surviving bec ,Brody Ginn,NONE,UK,en
wolt needs better base stats cabbage boi gets bullied by roy and lilina for fun wolt sue seems cute,Red Alm,NONE,NONE,en
young stalked by ex for a year amp then some ,Emily Shenk,NONE,NONE,en
you re kidding right brady had footballs deflated elliot physically abused a woman and bra ,John Cioli,United States,USA,en
what does this even mean a thing possibly happened not sure report filed hate crime statistics added to ,Travis Spunkpuffin,NONE,NONE,en
here s a right pile of news rick wakeman stalked by gay bathtub filled with wine white paper,Confewsinternational,NONE,NONE,en
or sexually coerced cause a lot of women have and don t even realize it realize it later ,Meinkeng Fonge,NONE,USA,en
to her bump mommy s getting stalked by some freak called a just like your nana was i hope when your my age you dont get bullied i ,Melody Rivers,NONE,USA,en
neuro bullied beaten urinated on raped murdered and brainwashed to accept and cheer our o ,Graf Von Grun,NONE,NONE,en
wp a bunch of serial killers are in a cabin in the woods and are relentlessly stalked by a teenager ,Yahir Schmitt,NONE,USA,en
the corn cob thing is actually a rape threat or some such i didn t screenshot in time because i m a dummy,deadliest snatch,NONE,NONE,en
racist mohammedans crime kills costs billions ruins lives and they must be stopped before our society is destroy ,Russell Berry,NONE,UK,en
can t believe abuse scottish athlete lynseysharp is getting i mean it took some balls to complain about female athlete with some balls ,Tom Drysdale,NONE,Scotland,en
former bullied kids what did your bullies do when they met you as an adult by christopher finch ,Charles Ikenna,NONE,Nigeria,en
he didn t physically abuse her and i never said it was ok but to say he abused her is no ,Shawn 1 0 ,NONE,USA,en
everytime i m even a little political i get out on blast like i ve been stalked by 4chan people and people have tried to doxx me,blige pinned ,NONE,NONE,en
stop trying to make it a race thing god damn gronk never abused woman lmfao you re an idiot stop writing please you ,Dave,NONE,NONE,en
i m not tryna put my hands on any woman obviously if this was true he wouldn t have physically abused multiple ,mawesah ,NONE,NONE,en
fraeulein he speaks paradox he wants 2 bring woman in a cult where they get exploited and abused,thepuremaddnessone,NONE,NONE,en
i m being bullied by luffy send help ,Sabo,NONE,NONE,en
i just got bullied out of my seat by a ant sized dragon fly ,Beastbann 8 25,NONE,USA,en
i didn t see u bring this stuff when the girl with ptsd got bullied by josh so what s so ,Robert Durbin,NONE,USA,en
why is sarah being bullied in cbb by what i can only assume is a geordie shore extra ,Chelsea Horsley,NONE,NONE,en
reminder that cardi b said if her man cheated she would drug him and get him raped by a tranny but that s ur female icon,juliet,NONE,NONE,en
if the woman was abused by zeke then it is very unfortunate that people s fandom are causing them to attack her if she wasn t then ,blake gibbs,NONE,NONE,en
ezekiel elliott s legal team literally argued that the woman he abused might have fallen down some stairs good lord ,miller high lives,NONE,NONE,en
the vag insert with teeth is my fave it was for areas where rape is an everyday threat what these ladies need i ,Pun Kanus is a Kafir,NONE,Mexico,en
me an adult getting bullied by my sisters high school friends weeeeeeeeeeeeeeeeeeeeeeeeeeeee ,poohani,NONE,NONE,en
morgan amp maguire bullied like schoolboys carragher right again giroud is massively underrated even by a majority of arsenal fans i see ,Jon ,NONE,UK,en
do you know an abused woman or man ,RadioForDivas,NONE,NONE,en
if i m bullied by my friends one more time i m gonna kms,Kay,NONE,NONE,en
i bet this wasn t reported to the police by the school as it was a white child being called names ,lynette newton,NONE,UK,en
maguire just got bullied by a pretty frenchman ,Dave Perera,NONE,NONE,en
i don t support any type of abuse but if there s no proof that zeke beat on any female then he shouldn t be suspended at all ,ThuggaGrl Seasonique,NONE,NONE,en
fuck no they get bullied more by the buses,Davey,NONE,NONE,en
can we have this in jordan just because i don t want to be stalked by a staff , Izzati,NONE,Jordon,en
mate sod off you got bullied by a group of chavs driving a clio now you are butthurt about it,killyorself,NONE,NONE,en
the sexist remarks in eden paradise lost are unnaceptable also the fact that the men are trying to defend their actions is even worse ,Melis ,NONE,UK,en
im being bullied by fb users theres no emergency fb number or fb help on my profile can help please can u stand up amp help,Lisa Mongan,NONE,NONE,en
we cyber stalked by going to completely wide open facebook pages to reference a viral picture keep going pete y ,TurtleBoySports,NONE,NONE,en
abused 17 year old cat hates humans after being mistreated woman persists to show her love the cat hate abusers ,RockMarz,NONE,NONE,en
every female celebrity should be in taylor swift s corner i would imagine many have experienced same ,penny green,NONE,NONE,en
kettell the police stopped investigating the woman he apparently abused stopped cooperatin ,Nicholas Mott,NONE,NONE,en
i remember being bullied by seniors for stanning jb and 1d when i was 10 and one day this chick made fun ,ayesha,NONE,NONE,en
i don t believe people should be punished for something they might have done hell it s the cornerstone of our j ,Trill Millennial,United States,USA,en
honestly find yourself a mutual like ju who fights fansites and the gets blocked and stalked by them , ,NONE,NONE,en
ok how much of a sissy would you have to be to feel abused by an 80 year old lady asking for a friend ,Ornery Young Gunz,NONE,USA,en
did you bash the giants kicker who wrote he had abused his wife he got 1 game before the police release evidence ,Drill Sergeant Gooch,United States,USA,en
cutting government s throat enables the rich to more easily rape the poor this is no secret scheer ,Robert MacKay,NONE,Canada,en
youngcr7 you see a woman is being abused amp this is your reaction ,Melancholy Mami,NONE,NONE,en
woman who abused police officers in the street claimed she wanted to be arrested ,Lincolnshire Live,NONE,USA,en
we let ourselves be bullied canada s been at the losing end of many law suits by bullying co ,marilyn,NONE,Canada,en
between wrangling my emotionally immature bf and being bullied by my formerly favorite podcast host this day is getting worse and worse,Benito Catastrophe,NONE,USA,en
hello here is a literal threat of rape aimed at a one year old child but you continue shadowbanning people ,16,NONE,NONE,en
abuse of personnel must be stopped cold immediately by company leadership no team member should ever be coerced ,Keil Hubert,NONE,USA,en
frantz really impressed by him got bullied a bit by maguirre amp morgan but didn t give up amp kept going til the end ,AaronRamsey CupHero,NONE,NONE,en
idc about other players suspensions people forget the bigger picture a woman was abused again zeke is lucky it s just a suspension ,b o o g i e,NONE,USA,en
is this t rexual harrasement ha ha this is a joke but sexual harassment isn t don t do it ,Tony DeMarco,NONE,USA,en
thanx 4the support calls appreciate the comments amp whatnot i feel like an nba player stalked by dismissed lover shithappensboo,URBAN LIT KING ,NONE,USA,en
someone actually said that being an underage idol is them asking to be sexually abused harrassed what ,bella ,NONE,NONE,en
i m on the fence about this kinda thing sure words change meaning over time but to th , ,NONE,UK,en
not one to mess with nothing could be anything less than me i get bullied by my 5 year old ,JB,NONE,UK,en
screw what about in womens prisons male screws abusing the female cons where there is power structure there will be abuse ,Liz Lewis,NONE,UK,en
they really do think machines are racist sexist they are trying to make siri talk condescendingly towards sexual remarks ,Red Velvet,NONE,NONE,en
it s terrible that at the expense of all these jokes a woman was abused by a man but all we care about is our fav ,Chris Russo,NONE,NONE,en
says the woman from the land where minorities are abused hit and hurt on the suspicion of carryi , ,NONE,NONE,en
she bullied riding by his new girlfriend house sending threats so the girl mom made her break up w my brother ,Coffeemilkswirl,NONE,USA,en
sick of irrelevant young female musicians using men they think abuse women as a promotional tool for cheap artistry ,Tater ,NONE,Switzerland,en
i was attacked bullied harassed by management los angeles because i support trump here s what happened ,Jesse Lee Peterson,United States,USA,en
stupid bint learn what a woman means to a muslim you are nothing but trash something to be used and abused ,Merlin 28,NONE,UK,en
these guys are both assholes no need to make sexist remarks about them since they apply to all men ,Team Montana,NONE,USA,en
physically sexually whatever y all talk about it like it s a joke ,kelsey ,NONE,USA,en
been there yes i would help thank you 2 those who reached out 2 help me in my time of need wouldnt b here 2da ,Kim Edmonds,United States,USA,en
