tweet,user_name,country,user_location,language
i had the nastiest dream tonight about being stalked by a very creepy man there was a whole big police action involved and such ewewew ,Emma,NONE,Grenada,en
she needs our help raped amp abused who will stand up for mother earth ,John Adams,NONE,United Kingdom,en
bitches be so blinded by love you can tell them they man cheated show them proof and they still be like nahhhh i love him ,lencia ,NONE,NONE,en
also i want to get bullied by a website link please,Daddy Gootra,NONE,NONE,en
gurugram based badminton coach was cheated of nearly rs 1 lakh by a man pretending to be an executive from paytm ,Afeef Ibn Albra,NONE,India,en
tehlkatv myanmar s rohingya cornered by poverty stalked by violence ,Tehlka TV,NONE,Pakistan,en
so sad bullied by cowards stopbullying rip beautiful girl xx ,Wendy Kerfoot,NONE,United Kingdom,en
abused puppy dies after dumped in woman s yard via died august 2016 rest now sweet baby caleb ,Debbie Sides,NONE,NONE,en
new post i am not going to be bullied by fringe elements kamal haasan has been published on news in hands ,Rahul Patel,NONE,India,en
3 years ago bullied a kid and pushed him down a hill and the kids dad came back that day and tried to kill us he did a drive by ,g,NONE,NONE,en
this is just so so sad very near to where i grew up ,Jessica Morgan,NONE,United Kingdom,en
ive seen some things on the internet that your being stalked harassed by one of seans fangirls and that sucks nobody deserves that ,Nathanja kempers,NONE,NONE,en
how do we know he s not finessing for his kids ,Posiden,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence , le de France,Italia,Italy,en
iconic i rt everytime i see it ,Raymond Gonzalez,NONE,USA,en
the uk started its decline with the closure of borstals amp the end of corporal punishment the threat of anal rape was a wonderful deterrent,Kevbo Slice,NONE,United Kingdom,en
hassie calhoun a young woman goes to vegas to be a star not to be abused what now ,Pamela Cory,NONE,USA,en
yerimmie i stalked like duh it s not that hurt and i am not active by replying others but im quite active by just lurking, Cath ,NONE,NONE,en
what if you re been bullied and slut shamed by family members and media ,fioredicardo,NONE,NONE,en
i got ur back ,M ,NONE,NONE,en
alcohol abuse is rising and in many countries young female drinkers are driving that growth ,ArmyOfOne,NONE,Africa,en
i hate watching him get bullied by his own freaking fans,skittledolan,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence ,TheMalaysianInsight,NONE,Malaysia,en
it is a truly harrowing experience to realize the reason you can t sleep at night is because you re not a peace ,Bianca ,NONE,NONE,en
as women we still have a lot of distance to cover in terms of occupying the political spaces women4leadership ,Zambia Women Forum,NONE,NONE,en
teenage girl found hanged in school toilets after complaining she was being bullied by ,Now What,NONE,NONE,en
if i wasnt being stalked by maggot cops when i got home from the states nobody wouldnt known anything about me other then my tweets,GetSome,NONE,NONE,en
echo sexual harrassments and constant sexist remarks it s like i can see everything before it gets banne ,Mimmi,NONE,Sweden,en
r4 woman s hour abused children denied compensation because they consented to they re abuse incredible and unfortunately true ,peter ross,NONE,Scotland,en
caroline wilson says she was bullied by afl after naming women her justifications weak and unconvincing for once,Perorationer,NONE,NONE,en
i have an acc on ig and its me from 2013 i beg kf u to plsssss delete it i m literally being bullied by it everyday pls insta,dim sum,NONE,NONE,en
so are you stalking me i m being stalked by this guy ,Substandard and Poor,NONE,Australia,en
he s getting bullied by an 18yo midget in this pic ,Michael Krezel,NONE,Australia,en
did you know that the armenian genocide was stalked by crazed fans from tetris ,Did You Know ,NONE,USA,en
woman in ropes and unable to opose gets abused and humiliated in ,Delta Fiducia,NONE,NONE,en
did you getting bullied by me ,Muhamad Firhand azmi,NONE,NONE,en
sick of greens being bullied by the major parties i d rather vote for them regardless of dual citizenship than some other parties auspol,Kianna,NONE,Australia,en
winstanley mystic this is the policy of your great leader ,Michael Taylor,NONE,NONE,en
the female labour mps now complaining puzzle me by standing for him they condoned the very abuse they are now getting ,Melindi Scott,NONE,United Kingdom,en
i live in rental house this belongs to your bjp leader i am being harrassed in his house do your party leader have this character,Dharmendra Kumar,NONE,NONE,en
female candidates face violence ahead of kenyan elections women4leadership ,Zambia Women Forum,NONE,NONE,en
good design but non supportive backend harrowing experience to a loyal cust jet says can be done ref ,Vishakha Singh,NONE,India,en
i just say all this because i don t like being hacked or censored or stalked or phished by terrorisers ,Evan,NONE,Australia,en
chris is such a little bitch he ll get bullied by olivia for the rest of his time with her,Ameobing,NONE,United Kingdom,en
you were the kid that wore a stupid fake sheriff badge ,Tommy O,NONE,NONE,en
just found out glitter is getting bullied by one of the gold fish i m fuming ,Jaz,NONE,NONE,en
polish teen 16 found hanged in school toilets after complaining about being bullied by brexiters ,Dino,NONE,United Kingdom,en
what do you both think of this or will you just ignore it and pretend it didn t happen ,Michael Taylor,NONE,NONE,en
you were the kid that wore a stupid fake sheriff badge and got bullied by the cooler kids ,Tommy O,NONE,NONE,en
u wot m8 who did i get bullied by,cincast,United Kingdom,United Kingdom,en
i liked a video what would you do muslim teen bullied by peers what would you do wwyd,Surjyansu Basu,NONE,NONE,en
marslord airport your daughter wasn t bullied by her own airline ,Julanne Barry,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence via ,MuhalifKurtulur,NONE,NONE,en
bullied by british trash illiterate uneducated parents eqauls illiterate uneducated children,peter ainscough,NONE,NONE,en
this still takes me out ,Sarah,NONE,Australia,en
sees big brother getting bullied by zero shakes fist, i c t ,NONE,NONE,en
great testomony of people and innocent civilians being harrassed illegally stalked experimented on by military forces law enforcement polic,AndreaDamask,NONE,Romania,en
scientist who gets called out by charles bullied by others then tries to fix himself then becomes beast cares for ,LIZI S BIRTH ,NONE,NONE,en
labour filibustered a debate on opposition days so that they would not have to discuss abuse of female mps disgusting and disgraceful,Thomas Haynes,NONE,NONE,en
get yourself someone like hank ,vani ,NONE,NONE,en
im gagged ,haute,NONE,NONE,en
hi i you because i ve been stalked and harassed by a group from your country for 5 years hope you can fix that cheers ,FullName270,NONE,NONE,en
we an tell when someone is treated unfairly amp bullied by the media this is happening with trump amp it creates a ki ,Laird Wilcox,NONE,USA,en
fgm female genital mutilation is a islamic authorized form of child abuse why is the world silent 1500300020,Zvi Lando,NONE,Israel,en
today i got bullied on the internet by a stranger and i was like ah ow to oo an emotional response how exciting oh well time to zz,Bella comms open ,NONE,USA,en
it s funny cause sometimes i think about the woman who abused me but now i realize exactly why she did what she did and her shortcomings,rockman,NONE,USA,en
actually if i had a little sense or brain i wouldn t let myself get bullied by you amp change it but ,Anika ,NONE,India,en
we love you ,Niky,NONE,NONE,en
twitter is toxic not the first celeb to be bullied run of twitter by ppl expressing their opinion smh,Scarlett Speedster,NONE,NONE,en
but why did she do it she was polish and was bullied by racists the story made page leads in most papers small ,liz gerard,NONE,United Kingdom,en
saw a woman bring several small children into sin city stayed thru threat of child rape castration by ,Jerwin,NONE,Canada,en
wallflower bullshit lower sentences are rape not being taken seriously women are seen as weak amp therefore no ,Aunty Propaganda,NONE,NONE,en
diana is being stalked by white walkers masterchefau,Chris Buchanan,NONE,Australia,en
bungling burgon amp friends used a filibuster to stop debate on abuse by low life momentum scum of tor ,donald j montgomery,NONE,NONE,en
